date,diamond price,inflation rate,gold price,BTC_Close,BTC_Volume,BTC_Marketcap,ETH_Close,ETH_Volume,ETH_Marketcap,DOGE_Close,DOGE_Volume,DOGE_Marketcap
7/12/2018,10689.325,1.78,1247.03,6228.810059,3770170112,1.07E+11,430.0740051,1495440000,43288294177,0.00230609,4220800,265785073.9
7/11/2018,10690.246,1.77,1242.18,6394.709961,3644859904,1.10E+11,446.5180054,1422470016,44934271235,0.00242506,9788650,279463345.3
7/10/2018,10692.639,1.79,1257.68,6329.950195,4052430080,1.09E+11,434.4240112,1789069952,43708241775,0.00241148,6741490,277864985.6
7/9/2018,10702.415,1.79,1257.78,6741.75,3718129920,1.16E+11,476.6820068,1533799936,47950212027,0.00260345,4233540,299949049.9
7/8/2018,10726.659,1.81,1237.73,6773.879883,3386210048,1.16E+11,489.118988,1344560000,49191161178,0.00261058,5004800,300734141.5
7/7/2018,10728.682,1.81,1237.73,6856.930176,3961080064,1.18E+11,491.6600037,1358360064,49436674025,0.00264463,4205310,304620168.8
7/6/2018,10718.032,1.81,1254.73,6673.5,4313959936,1.14E+11,474.0119934,1627609984,47652424064,0.00259658,4306990,299049594.5
7/5/2018,10712.856,1.81,1237.73,6639.140137,4999240192,1.14E+11,474.4119873,1828610048,47682968020,0.00259902,3792270,299294779.8
7/4/2018,10710.898,1.81,1240.1,6597.549805,4176689920,1.13E+11,467.3179932,1549769984,46960391871,0.00268017,4781340,308602980.2
7/3/2018,10715.123,1.8,1237.73,6529.589844,4672309760,1.12E+11,464.1950073,1683939968,46637067239,0.00263802,5643560,303713116.8
7/2/2018,10719.893,1.81,1237.73,6614.180176,4396930048,1.13E+11,475.3469849,1625789952,47747743959,0.00270315,5812800,311174075.9
7/1/2018,10712.787,1.83,1237.73,6385.819824,4788259840,1.09E+11,453.9179993,1511730048,45585861718,0.00248919,8435030,286509504.4
6/30/2018,10711.909,1.82,1237.73,6404,4543860224,1.10E+11,455.1799927,1475939968,45703302056,0.00249923,6122900,287630566.8
6/29/2018,10701.819,1.82,1253.18,6218.299805,3966230016,1.06E+11,436.0090027,1564499968,43769409548,0.00242718,3832380,279304722
6/28/2018,10673.499,1.8,1248.28,5903.439941,3467800064,1.01E+11,422.3649902,1360790016,42391125054,0.00235693,3678050,271187894
6/27/2018,10673.174,1.78,1252.03,6157.129883,3296219904,1.05E+11,442.3649902,1368940032,44389430889,0.0024373,5765380,280401349.5
6/26/2018,10676.309,1.82,1251.13,6093.669922,3279759872,1.04E+11,432.7720032,1356560000,43417898248,0.00247793,4070170,285041032.8
6/25/2018,10681.149,1.82,1255.13,6249.180176,5500810240,1.07E+11,460.3099976,4007950080,46171165114,0.00248536,5693670,285861158
